P_pv	P_sc	P_resultante
4.57005	-4.950494556510421e-07	4.67005
4.56057	0.004763309395974247	4.56057
4.5511	0.009504555682076976	4.5511
4.54163	0.014242579666508881	4.54163
4.53215	0.018987248400548218	4.53215
4.52268	0.023721829632668445	4.52268
4.51321	0.02845628638568254	4.51321
4.50373	0.03319933967313826	4.50373
4.5	0.032829702597869215	4.5
4.5	0.02954907537082274	4.5
4.5	0.02686429455786321	4.5
4.5	0.024626522599053402	4.5
4.5	0.022732682906999813	4.5
4.5	0.021109128327776006	4.5
4.5	0.019701837865294003	4.5
4.5	0.018470287337825297	4.6
4.5029	0.014654120191115894	4.5029
4.51022	0.006926491100823107	4.51022
4.51753	-0.0003633124262893972	4.51753
4.52485	-0.007298864228087787	4.52485
4.53217	-0.013922107599711353	4.53217
4.53948	-0.02026599760640213	4.53948
4.5468	-0.026385148485323917	4.5468
4.55412	-0.032298821899091834	4.55412
4.56143	-0.03802199723441646	4.56143
4.56875	-0.043595039168660144	4.668749999999999
4.57607	-0.0490256647497036	4.676069999999999
4.58339	-0.05432905833323698	4.58339
4.59	-0.05883284753384466	4.59
4.58142	-0.048573535320769246	4.58142
4.56909	-0.035071201335755475	4.56909
4.55676	-0.022028448496671515	4.55676
4.54443	-0.009403626772929385	4.54443
4.5321	0.0028400117240634515	4.5321
4.51977	0.01473501285027723	4.51977
4.50745	0.026300582736449307	4.50745
4.5	0.0328346586228454	4.5
4.5	0.0319668225667451	4.5
4.5	0.03114337648929233	4.5
4.5	0.030360992028477085	4.5
4.5	0.02961666546270525	4.5
4.5	0.02890767907233016	4.5
4.5	0.028231567891341847	4.5
4.5	0.027586090991887247	4.5
4.5	0.02696920659667157	4.5
4.5	0.026379050436860396	4.5
4.5	0.025813916872217568	4.5
4.5	0.025272242370732556	4.5
4.5	0.02475259101073668	4.5
4.5	0.02425364172241995	4.5
4.5	0.023774177030052357	4.5
4.5	0.023313073092926295	4.5
4.5	0.02286929087352796	4.5
4.5	0.022441868286843025	4.5
4.5	0.022029913205946272	4.5
4.5	0.021632597216854954	4.5
4.5	0.021249150030652864	4.5
4.5	0.020878854473573405	4.5
4.5	0.020521041986472532	4.5
4.5	0.020175088574288402	4.5
4.5	0.01984041115384194	4.5
4.5	0.019516464255022292	4.6
4.5	0.01920273703609432	4.3
4.5	0.018898750578779655	4.5
4.5	0.018604055432980715	4.5
4.5	0.018318229384678197	4.5
4.5	0.018040875423692704	4.5
4.5	0.01777161989072873	4.5
4.5	0.017510110785528	4.6
4.5	0.017256016220013493	4.6
4.5	0.01700902300213425	4.6
4.5	0.01676883533771356	4.6
4.5	0.016535173638971834	4.6
4.5	0.016307773429645955	4.5
4.5	0.016086384337690163	4.5
4.5	0.015870769167483978	4.5
4.5	0.015660703044333424	4.5
4.5	0.015455972624764058	4.5
4.5	0.01525637536679092	4.5
4.5	0.015061718854904704	4.5
4.5	0.014871820175058836	4.5
4.5	0.014686505335379962	4.5
4.5	0.014505608728751618	4.6
4.5	0.014328972633777859	4.6
4.5	0.014156446750971163	4.5
4.5	0.013987887771295782	4.5
4.5	0.013823158974458849	4.6
4.5	0.013662129854594696	4.5
4.5	0.013504675771176089	4.5
4.5	0.013350677623193974	4.5
4.5	0.013200021544824914	4.5
4.5	0.013052598620935107	4.5
4.5	0.012908304620943944	4.5
4.5	0.012767039749669529	4.5
4.5	0.012628708413910061	4.6
4.5	0.012493219003611777	4.6
4.5	0.012360483686570944	4.4
4.5	0.012230418215704475	4.4
4.5	0.01210294174800186	4.7
4.5	0.011977976674334201	4.7
4.5	0.011855448459377804	4.5
4.5	0.011735285490948044	4.5
4.5	0.011617418938113744	4.5
4.5	0.011501782617493461	4.5
4.5	0.011388312867192774	4.5
4.5	0.011276948427874522	4.5
4.5	0.011167630330499279	4.5
4.5	0.011060301790302596	4.5
4.5	0.010954908106604044	4.5
4.5	0.010851396568085647	4.5
4.5	0.010749716363185335	4.5
4.50943	0.0013074521464888633	4.50943
4.52127	-0.01043546598178935	4.62127
4.53311	-0.022071802382011008	4.633109999999999
4.54495	-0.033604224403044114	4.54495
4.5568	-0.04504521658424032	4.6568
4.56864	-0.05637735607989214	4.66864
4.58048	-0.06761304342670016	4.58048
4.59	-0.07645499201418637	4.59
4.59	-0.07578800650225936	4.59
4.59	-0.07513181295069593	4.59
4.59	-0.07448614640298867	4.59
4.59	-0.07385075052117163	4.59
4.59	-0.07322537723831424	4.59
4.59	-0.07260978642769622	4.59
4.59	-0.0720037455877316	4.59
4.59	-0.07140702954178035	4.59
4.59	-0.07081942015202625	4.6899999999999995
4.59	-0.07024070604666655	4.6899999999999995
4.59	-0.06967068235968643	4.59
4.59	-0.06910915048255539	4.59
4.59	-0.06855591782720794	4.6899999999999995
4.59	-0.06801079759971618	4.49
4.59	-0.06747360858409301	4.49
4.59	-0.06694417493570892	4.79
4.59	-0.06642232598381614	4.59
4.59	-0.06590789604272551	4.59
4.59	-0.06540072423118737	4.59
4.59	-0.06490065429957337	4.59
4.59	-0.06440753446446212	4.6899999999999995
4.5794	-0.05340125388748618	4.2794
4.56417	-0.03788482091962564	4.26417
4.54894	-0.02248586456108992	4.54894
4.53371	-0.007202080471903294	4.53371
4.51849	0.007958845008559479	4.51849
4.50326	0.023019015055047554	4.50326
4.5	0.026087693700251435	4.5
4.50726	0.018691426002961364	4.50726
4.51785	0.00804313243341781	4.51785
4.52844	-0.0025286474725216834	4.52844
4.53903	-0.013025334977752046	4.63903
4.54962	-0.02344831343600884	4.64962
4.56021	-0.03379892953331698	4.660209999999999
4.57079	-0.04406856441631657	4.670789999999999
4.58138	-0.05427842415998363	4.58138
4.59	-0.06246337822619186	4.59
4.59	-0.06203369299209349	4.59
4.59	-0.061609267091108144	4.59
4.59	-0.061190001708543384	4.59
4.59	-0.06077580050183862	4.59
4.59	-0.06036656952378472	4.59
4.59	-0.05996221714858674	4.59
4.59	-0.059562654000647974	4.59
4.59	-0.05916779288595819	4.59
4.59	-0.05877754872597851	4.59
4.59	-0.05839183849391372	4.59
4.59	-0.05801058115327695	4.59
4.59	-0.057633697598643785	4.59
4.59	-0.0572611105985148	4.59
4.59	-0.05689274474019079	4.59
4.59	-0.05652852637658334	4.59
4.59	-0.05616838357488252	4.59
4.59	-0.05581224606700008	4.59
4.59	-0.05546004520172598	4.59
4.59	-0.05511171389852354	4.59
4.59	-0.054767186602899365	4.59
4.59	-0.05442639924328496	4.59
4.59	-0.054089289189374945	4.59
4.59	-0.053755795211857915	4.59
4.59	-0.05342585744349204	4.59
4.59	-0.05309941734147028	4.59
4.59	-0.052776417651025476	4.6899999999999995
4.59	-0.052456802370229205	4.6899999999999995
4.59	-0.05214051671593811	4.39
4.59	-0.05182750709084516	4.59
4.59	-0.05151772105159402	4.59
4.59	-0.051211107277914	4.59
4.59	-0.05090761554274348	4.59
4.59	-0.05060719668329927	4.59
4.58787	-0.048192319556735974	4.687869999999999
4.58248	-0.04255183739326096	4.68248
4.57709	-0.036945261688883235	4.57709
4.5717	-0.03137211422718433	4.5717
4.56631	-0.02583192681294566	4.56631
4.56092	-0.020324241013975453	4.56092
4.55553	-0.014848607910835199	4.55553
4.55014	-0.009404587854190183	4.55014
4.54475	-0.003991750229504376	4.644749999999999
4.53936	0.001390326771164574	4.63936
4.53397	0.006742056370536709	4.53397
4.52858	0.012063843420859754	4.52858
4.52319	0.01735608461229532	4.52319
4.51781	0.022609224471970002	4.51781
4.51242	0.027843587648907153	4.612419999999999
4.50703	0.033049547544309554	4.60703
4.50164	0.038227470171169564	4.50164
4.5	0.039648327276056605	4.5
4.5	0.03943118821697755	4.5
4.5	0.03921602455794826	4.5
4.5	0.039002808405459	4.5
4.5	0.038791512395609296	4.5
4.5	0.03858210968161124	4.5
4.5	0.03837457392164456	4.5
4.5	0.038168879267046485	4.5
4.5	0.037965000350837386	4.5
4.5	0.037762912276564364	4.5
4.5	0.037562590607449486	4.5
4.5	0.03736401135584089	4.5
4.5	0.03716715097294898	4.5
4.5	0.036971986338866	4.5
4.5	0.03677849475285644	4.5
4.5	0.03658665392390503	4.5
4.5	0.036396441961526804	4.5
4.5	0.0362078373668151	4.5
4.5	0.03602081902373566	4.5
4.5	0.035835366190645424	4.5
4.5	0.03565145849204132	4.5
4.5	0.0354690759105214	4.5
4.5	0.035288198778959945	4.5
4.5	0.03510880777288339	4.6
4.5	0.03493088390304866	4.5
4.5	0.03475440850820899	4.5
4.5	0.03457936324806887	4.5
